Cidade;Data;Vendas;LojaID;Qtde
Salvador;02/01/2014;R$31.06 ;1037;3
Salvador;02/01/2014;R$19.02 ;1034;3
Salvador;02/01/2014;R$173.59 ;1035;3
Salvador;02/01/2014;R$176.34 ;1037;3
Salvador;02/01/2014;R$19.47 ;1037;3
Salvador;02/01/2014;R$179.20 ;1037;3
Salvador;02/01/2014;R$36.30 ;1034;2
Salvador;02/01/2014;R$6.13 ;1034;2
Salvador;02/01/2014;R$4.96 ;1036;2
Salvador;02/01/2014;R$127.92 ;1036;1
Salvador;02/01/2014;R$30.97 ;1036;1
Salvador;02/01/2014;R$30.62 ;1034;3
Salvador;02/01/2014;R$125.05 ;1034;3
Salvador;02/01/2014;R$39.29 ;1035;1
Salvador;02/01/2014;R$109.01 ;1035;2
Salvador;02/01/2014;R$20.15 ;1036;3
Salvador;02/01/2014;R$32.47 ;1036;2
Salvador;02/01/2014;R$158.66 ;1037;1
Salvador;02/01/2014;R$242.31 ;1035;1
Salvador;02/01/2014;R$167.12 ;1035;1
Salvador;02/01/2014;R$33.97 ;1034;3
Salvador;02/01/2014;R$39.72 ;1035;3
Salvador;02/01/2014;R$32.57 ;1035;1
Salvador;02/01/2014;R$193.20 ;1036;3
Salvador;02/01/2014;R$15.60 ;1034;2
Salvador;02/01/2014;R$220.62 ;1035;1
Salvador;02/01/2014;R$183.45 ;1036;3
Salvador;02/01/2014;R$145.79 ;1034;1
Salvador;02/01/2014;R$162.34 ;1035;2
Salvador;02/01/2014;R$9.27 ;1034;1
Salvador;02/01/2014;R$47.96 ;1034;2
Salvador;02/01/2014;R$202.25 ;1035;2
Salvador;02/01/2014;R$151.27 ;1035;1
Salvador;02/01/2014;R$144.19 ;1035;2
Salvador;02/01/2014;R$36.54 ;1037;3
Salvador;02/01/2014;R$241.45 ;1037;1
Salvador;02/01/2014;R$9.67 ;1037;1
Salvador;02/01/2014;R$18.31 ;1036;3
Salvador;02/01/2014;R$165.34 ;1034;3
Salvador;02/01/2014;R$165.95 ;1036;3
Salvador;02/01/2014;R$161.87 ;1036;3
Salvador;02/01/2014;R$9.86 ;1035;2
Salvador;02/01/2014;R$44.28 ;1034;1
Salvador;02/01/2014;R$12.21 ;1034;1
Salvador;02/01/2014;R$43.26 ;1037;2
Salvador;02/01/2014;R$175.25 ;1035;3
Salvador;02/01/2014;R$34.84 ;1034;3
Salvador;02/01/2014;R$190.03 ;1036;2
Salvador;02/01/2014;R$127.28 ;1035;2
Salvador;02/01/2014;R$37.88 ;1034;2
Salvador;02/01/2014;R$44.87 ;1036;3
Salvador;02/01/2014;R$13.37 ;1037;2
Salvador;02/01/2014;R$43.77 ;1036;2
Salvador;02/01/2014;R$39.50 ;1035;3
Salvador;02/01/2014;R$46.54 ;1037;3
Salvador;02/01/2014;R$36.62 ;1036;1
Salvador;02/01/2014;R$178.44 ;1035;3
Salvador;02/01/2014;R$11.72 ;1035;1
Salvador;02/01/2014;R$20.64 ;1037;2
Salvador;02/01/2014;R$138.27 ;1034;2
Salvador;02/01/2014;R$96.01 ;1034;2
Salvador;02/01/2014;R$4.54 ;1036;3
Salvador;02/01/2014;R$161.02 ;1037;3
Salvador;02/01/2014;R$166.59 ;1036;1
Salvador;02/01/2014;R$37.96 ;1037;3
Salvador;02/01/2014;R$3.39 ;1034;2
