Cidade;Data;Vendas;LojaID;Qtde
Curitiba;02/06/2014;R$162.61 ;981;1
Curitiba;02/06/2014;R$11.44 ;983;1
Curitiba;02/06/2014;R$12.94 ;983;5
Curitiba;02/06/2014;R$160.54 ;981;3
Curitiba;02/06/2014;R$19.89 ;983;7
Curitiba;02/06/2014;R$13.59 ;980;3
Curitiba;02/06/2014;R$16.27 ;981;6
Curitiba;02/06/2014;R$33.37 ;982;3
Curitiba;02/06/2014;R$56.47 ;980;6
Curitiba;02/06/2014;R$11.85 ;980;7
Curitiba;02/06/2014;R$38.51 ;982;8
Curitiba;02/06/2014;R$202.79 ;980;5
Curitiba;02/06/2014;R$17.48 ;982;2
Curitiba;02/06/2014;R$15.33 ;983;5
Curitiba;02/06/2014;R$102.91 ;982;3
Curitiba;02/06/2014;R$7.45 ;981;2
Curitiba;02/06/2014;R$19.95 ;980;8
Curitiba;02/06/2014;R$142.45 ;981;3
Curitiba;02/06/2014;R$49.40 ;980;5
Curitiba;02/06/2014;R$199.43 ;983;7
Curitiba;02/06/2014;R$42.35 ;982;3
Curitiba;02/06/2014;R$164.74 ;983;1
Curitiba;02/06/2014;R$39.53 ;983;3
Curitiba;02/06/2014;R$37.51 ;982;2
Curitiba;02/06/2014;R$13.00 ;983;2
Curitiba;02/06/2014;R$161.60 ;982;5
Curitiba;02/06/2014;R$126.05 ;980;1
Curitiba;02/06/2014;R$22.25 ;980;7
Curitiba;02/06/2014;R$123.69 ;983;3
Curitiba;02/06/2014;R$10.18 ;980;8
Curitiba;02/06/2014;R$12.35 ;980;5
Curitiba;02/06/2014;R$176.23 ;981;7
Curitiba;02/06/2014;R$15.93 ;982;7
Curitiba;02/06/2014;R$32.33 ;982;1
Curitiba;02/06/2014;R$24.97 ;980;5
Curitiba;02/06/2014;R$148.90 ;983;1
Curitiba;02/06/2014;R$146.62 ;983;6
Curitiba;02/06/2014;R$136.36 ;980;7
Curitiba;02/06/2014;R$104.53 ;983;4
Curitiba;02/06/2014;R$143.58 ;981;3
Curitiba;02/06/2014;R$36.22 ;983;6
Curitiba;02/06/2014;R$157.78 ;981;4
Curitiba;02/06/2014;R$161.45 ;983;3
Curitiba;02/06/2014;R$22.29 ;983;7
Curitiba;02/06/2014;R$142.21 ;983;8
Curitiba;02/06/2014;R$15.90 ;983;8
Curitiba;02/06/2014;R$239.17 ;981;8
Curitiba;02/06/2014;R$8.60 ;983;3
Curitiba;02/06/2014;R$141.19 ;980;7
Curitiba;02/06/2014;R$122.55 ;981;1
Curitiba;02/06/2014;R$7.24 ;983;4
Curitiba;02/06/2014;R$146.95 ;982;2
Curitiba;02/06/2014;R$11.87 ;981;6
Curitiba;02/06/2014;R$37.05 ;983;6
Curitiba;02/06/2014;R$23.43 ;982;7
Curitiba;02/06/2014;R$20.03 ;983;4
Curitiba;02/06/2014;R$7.98 ;983;5
Curitiba;02/06/2014;R$201.41 ;980;3
Curitiba;02/06/2014;R$8.02 ;983;2
Curitiba;02/06/2014;R$89.39 ;983;5
Curitiba;02/06/2014;R$37.97 ;983;1
Curitiba;02/06/2014;R$127.85 ;982;7
Curitiba;02/06/2014;R$23.04 ;983;6
Curitiba;02/06/2014;R$37.95 ;980;2
Curitiba;02/06/2014;R$89.32 ;983;2
Curitiba;02/06/2014;R$4.01 ;981;1
Curitiba;02/06/2014;R$14.59 ;983;7
Curitiba;02/06/2014;R$179.52 ;983;5
Curitiba;02/06/2014;R$175.45 ;980;3
Curitiba;02/06/2014;R$38.83 ;981;1
Curitiba;02/06/2014;R$20.40 ;983;7
Curitiba;02/06/2014;R$138.69 ;983;3
Curitiba;02/06/2014;R$42.32 ;982;2
Curitiba;02/06/2014;R$39.71 ;981;5
Curitiba;02/06/2014;R$38.79 ;983;6
Curitiba;02/06/2014;R$170.29 ;981;8
Curitiba;02/06/2014;R$17.86 ;980;5
Curitiba;02/06/2014;R$102.82 ;981;6
Curitiba;02/06/2014;R$238.73 ;980;3
Curitiba;02/06/2014;R$14.53 ;983;6
Curitiba;02/06/2014;R$114.14 ;982;8
Curitiba;02/06/2014;R$36.52 ;982;8
Curitiba;02/06/2014;R$29.55 ;981;6
Curitiba;02/06/2014;R$143.61 ;983;6
Curitiba;02/06/2014;R$36.41 ;980;6
Curitiba;02/06/2014;R$182.52 ;983;1
Curitiba;02/06/2014;R$17.83 ;982;8
Curitiba;02/06/2014;R$210.06 ;983;4
Curitiba;02/06/2014;R$180.24 ;980;6
Curitiba;02/06/2014;R$18.11 ;980;3
Curitiba;02/06/2014;R$16.04 ;980;1
Curitiba;02/06/2014;R$150.58 ;982;6
Curitiba;02/06/2014;R$163.02 ;981;4
Curitiba;02/06/2014;R$17.45 ;980;6
Curitiba;02/06/2014;R$24.70 ;982;3
Curitiba;02/06/2014;R$40.03 ;982;3
Curitiba;02/06/2014;R$165.36 ;982;7
Curitiba;02/06/2014;R$153.04 ;983;4
Curitiba;02/06/2014;R$137.34 ;981;8
Curitiba;02/06/2014;R$136.72 ;980;4
Curitiba;02/06/2014;R$35.11 ;982;4
Curitiba;02/06/2014;R$172.55 ;983;7
Curitiba;02/06/2014;R$96.50 ;982;7
Curitiba;02/06/2014;R$41.65 ;982;3
Curitiba;02/06/2014;R$40.11 ;983;5
Curitiba;02/06/2014;R$41.12 ;980;3
Curitiba;02/06/2014;R$30.46 ;982;3
Curitiba;02/06/2014;R$15.40 ;980;7
Curitiba;02/06/2014;R$152.89 ;981;4
Curitiba;02/06/2014;R$18.90 ;982;6
Curitiba;02/06/2014;R$51.98 ;983;6
Curitiba;02/06/2014;R$8.00 ;981;3
Curitiba;02/06/2014;R$133.59 ;982;1
Curitiba;02/06/2014;R$38.63 ;980;2
Curitiba;02/06/2014;R$16.82 ;983;4
Curitiba;02/06/2014;R$12.23 ;981;3
Curitiba;02/06/2014;R$79.10 ;982;2
Curitiba;02/06/2014;R$15.42 ;983;8
Curitiba;02/06/2014;R$17.70 ;981;5
Curitiba;02/06/2014;R$152.30 ;982;7
Curitiba;02/06/2014;R$184.90 ;982;4
Curitiba;02/06/2014;R$41.55 ;981;3
Curitiba;02/06/2014;R$235.06 ;983;3
Curitiba;02/06/2014;R$20.22 ;981;6
Curitiba;02/06/2014;R$47.98 ;983;7
Curitiba;02/06/2014;R$37.60 ;983;4
Curitiba;02/06/2014;R$41.87 ;980;8
Curitiba;02/06/2014;R$39.56 ;982;8
Curitiba;02/06/2014;R$38.70 ;982;4
Curitiba;02/06/2014;R$35.34 ;982;7
Curitiba;02/06/2014;R$12.36 ;983;4
Curitiba;02/06/2014;R$139.07 ;982;6
Curitiba;02/06/2014;R$17.49 ;983;5
Curitiba;02/06/2014;R$14.67 ;980;7
Curitiba;02/06/2014;R$195.18 ;980;5
Curitiba;02/06/2014;R$10.79 ;983;5
Curitiba;02/06/2014;R$39.09 ;982;4
Curitiba;02/06/2014;R$51.99 ;983;3
Curitiba;02/06/2014;R$150.38 ;983;6
Curitiba;02/06/2014;R$141.16 ;980;7
Curitiba;02/06/2014;R$166.89 ;983;5
Curitiba;02/06/2014;R$182.75 ;983;8
