Cidade;Data;Vendas;LojaID;Qtde
Manaus;01/01/2014;R$45.27 ;1002;2
Manaus;01/01/2014;R$115.61 ;1002;3
Manaus;01/01/2014;R$35.33 ;1004;3
Manaus;01/01/2014;R$20.95 ;1004;6
Manaus;01/01/2014;R$14.25 ;1004;6
Manaus;01/01/2014;R$37.30 ;1002;5
Manaus;01/01/2014;R$38.40 ;1003;4
Manaus;01/01/2014;R$35.50 ;1003;2
Manaus;01/01/2014;R$37.49 ;1005;1
Manaus;01/01/2014;R$11.17 ;1002;6
Manaus;01/01/2014;R$179.88 ;1002;4
Manaus;01/01/2014;R$42.19 ;1003;3
Manaus;01/01/2014;R$80.73 ;1004;2
Manaus;01/01/2014;R$118.58 ;1003;4
Manaus;01/01/2014;R$132.68 ;1005;1
Manaus;01/01/2014;R$195.05 ;1002;2
Manaus;01/01/2014;R$97.32 ;1002;5
Manaus;01/01/2014;R$166.80 ;1004;1
Manaus;01/01/2014;R$38.31 ;1002;3
Manaus;01/01/2014;R$18.86 ;1002;3
Manaus;01/01/2014;R$39.68 ;1003;2
Manaus;01/01/2014;R$40.63 ;1004;3
Manaus;01/01/2014;R$150.32 ;1005;1
Manaus;01/01/2014;R$85.90 ;1004;5
Manaus;01/01/2014;R$35.38 ;1005;4
Manaus;01/01/2014;R$80.31 ;1004;4
Manaus;01/01/2014;R$18.93 ;1005;2
Manaus;01/01/2014;R$212.37 ;1003;6
Manaus;01/01/2014;R$34.88 ;1004;3
Manaus;01/01/2014;R$186.29 ;1005;2
Manaus;01/01/2014;R$39.13 ;1005;6
Manaus;01/01/2014;R$23.46 ;1002;4
Manaus;01/01/2014;R$43.33 ;1004;4
Manaus;01/01/2014;R$19.56 ;1005;1
Manaus;01/01/2014;R$3.10 ;1003;5
Manaus;01/01/2014;R$133.97 ;1005;2
Manaus;01/01/2014;R$36.31 ;1004;2
Manaus;01/01/2014;R$35.86 ;1002;6
Manaus;01/01/2014;R$35.09 ;1004;4
Manaus;01/01/2014;R$176.51 ;1005;1
Manaus;01/01/2014;R$19.13 ;1002;4
Manaus;01/01/2014;R$191.29 ;1002;3
Manaus;01/01/2014;R$38.71 ;1004;5
Manaus;01/01/2014;R$191.52 ;1004;1
Manaus;01/01/2014;R$215.11 ;1003;1
Manaus;01/01/2014;R$39.63 ;1004;3
Manaus;01/01/2014;R$6.45 ;1003;3
Manaus;01/01/2014;R$13.45 ;1004;5
Manaus;01/01/2014;R$40.71 ;1002;6
Manaus;01/01/2014;R$183.33 ;1002;6
Manaus;01/01/2014;R$33.69 ;1005;3
Manaus;01/01/2014;R$30.47 ;1005;3
Manaus;01/01/2014;R$15.22 ;1003;2
Manaus;01/01/2014;R$11.48 ;1002;4
Manaus;01/01/2014;R$16.73 ;1002;5
Manaus;01/01/2014;R$214.73 ;1002;4
Manaus;01/01/2014;R$18.43 ;1002;1
Manaus;01/01/2014;R$129.07 ;1005;3
Manaus;01/01/2014;R$38.90 ;1004;4
Manaus;01/01/2014;R$6.31 ;1002;3
Manaus;01/01/2014;R$182.14 ;1002;4
Manaus;01/01/2014;R$37.41 ;1002;5
Manaus;01/01/2014;R$106.21 ;1005;6
Manaus;01/01/2014;R$118.17 ;1004;1
Manaus;01/01/2014;R$110.31 ;1005;4
Manaus;01/01/2014;R$145.20 ;1005;2
Manaus;01/01/2014;R$35.11 ;1005;6
Manaus;01/01/2014;R$43.51 ;1003;1
Manaus;01/01/2014;R$85.09 ;1005;6
Manaus;01/01/2014;R$216.65 ;1003;6
Manaus;01/01/2014;R$79.57 ;1002;5
Manaus;01/01/2014;R$41.89 ;1004;4
Manaus;01/01/2014;R$106.72 ;1003;4
Manaus;01/01/2014;R$3.10 ;1003;5
Manaus;01/01/2014;R$163.09 ;1005;5
Manaus;01/01/2014;R$19.99 ;1005;4
Manaus;01/01/2014;R$38.61 ;1004;4
Manaus;01/01/2014;R$167.64 ;1005;1
Manaus;01/01/2014;R$37.66 ;1005;2
Manaus;01/01/2014;R$41.25 ;1005;6
Manaus;01/01/2014;R$47.88 ;1003;2
Manaus;01/01/2014;R$10.68 ;1005;1
Manaus;01/01/2014;R$14.03 ;1004;5
Manaus;01/01/2014;R$3.88 ;1002;6
Manaus;01/01/2014;R$147.46 ;1003;6
Manaus;01/01/2014;R$149.00 ;1005;3
Manaus;01/01/2014;R$42.11 ;1004;3
Manaus;01/01/2014;R$42.04 ;1002;5
Manaus;01/01/2014;R$68.60 ;1004;6
Manaus;01/01/2014;R$7.19 ;1004;5
Manaus;01/01/2014;R$18.01 ;1005;2
Manaus;01/01/2014;R$37.49 ;1002;1
Manaus;01/01/2014;R$3.49 ;1005;4
Manaus;01/01/2014;R$35.25 ;1003;5
Manaus;01/01/2014;R$150.49 ;1003;5
Manaus;01/01/2014;R$35.28 ;1002;2
Manaus;01/01/2014;R$23.31 ;1004;4
Manaus;01/01/2014;R$139.70 ;1003;4
Manaus;01/01/2014;R$15.00 ;1005;2
Manaus;01/01/2014;R$9.01 ;1002;3
Manaus;01/01/2014;R$18.58 ;1003;1
Manaus;01/01/2014;R$11.67 ;1005;4
Manaus;01/01/2014;R$13.99 ;1004;3
Manaus;01/01/2014;R$142.57 ;1002;3
Manaus;01/01/2014;R$40.50 ;1005;2
Manaus;01/01/2014;R$174.66 ;1004;1
Manaus;01/01/2014;R$28.42 ;1002;3
Manaus;01/01/2014;R$21.90 ;1004;6
