Cidade;Data;Vendas;LojaID;Qtde
Goiania;27/08/2015;R$ 606;853;2
Goiania;25/11/2015;R$ 563;853;2
Goiania;11/05/2014;R$ 308;852;3
Goiania;07/01/2014;R$ 271;854;3
Goiania;09/09/2014;R$ 699;853;3
Goiania;30/05/2016;R$ 674;854;2
Goiania;02/07/2015;R$ 322;852;4
Goiania;18/12/2016;R$ 886;853;4
Goiania;27/07/2016;R$ 667;852;4
Goiania;02/05/2017;R$ 261;852;3
Goiania;27/10/2017;R$ 828;852;4
Goiania;09/12/2016;R$ 564;853;3
Goiania;02/12/2014;R$ 709;853;3
Goiania;12/09/2017;R$ 458;852;4
Goiania;03/06/2015;R$ 660;853;3
Goiania;01/02/2017;R$ 432;854;3
Goiania;01/07/2017;R$ 298;854;3
Goiania;18/02/2017;R$ 276;854;3
Goiania;14/03/2014;R$ 581;853;3
Goiania;31/10/2016;R$ 282;854;2
Goiania;08/06/2017;R$ 608;852;4
Goiania;08/06/2014;R$ 679;853;2
Goiania;21/06/2015;R$ 621;853;3
Goiania;14/02/2014;R$ 304;854;3
Goiania;22/04/2015;R$ 868;854;3
Goiania;13/01/2014;R$ 611;852;2
Goiania;20/07/2015;R$ 370;853;3
Goiania;16/07/2015;R$ 390;853;3
Goiania;13/04/2016;R$ 705;853;2
Goiania;09/03/2016;R$ 646;854;2
Goiania;02/10/2015;R$ 856;853;4
Goiania;03/04/2015;R$ 401;854;4
Goiania;17/08/2016;R$ 244;854;2
Goiania;11/01/2015;R$ 759;854;2
Goiania;07/01/2014;R$ 484;852;2
Goiania;18/01/2015;R$ 552;852;2
Goiania;09/08/2016;R$ 328;853;2
Goiania;03/10/2017;R$ 726;852;2
Goiania;25/02/2015;R$ 828;852;4
Goiania;10/12/2014;R$ 504;854;3
Goiania;10/01/2017;R$ 885;853;3
Goiania;20/05/2015;R$ 835;852;4
Goiania;02/08/2016;R$ 775;854;2
Goiania;01/06/2016;R$ 538;853;3
Goiania;03/01/2014;R$ 500;852;4
Goiania;11/04/2014;R$ 431;852;3
Goiania;26/04/2016;R$ 753;853;2
Goiania;13/03/2015;R$ 521;854;3
Goiania;20/09/2017;R$ 676;852;4
Goiania;01/05/2016;R$ 831;852;2
Goiania;08/03/2016;R$ 324;854;4
Goiania;21/01/2017;R$ 859;852;4
Goiania;27/04/2015;R$ 778;854;4
Goiania;14/04/2016;R$ 290;854;4
Goiania;03/10/2015;R$ 373;852;4
Goiania;08/01/2016;R$ 859;854;4
Goiania;02/03/2015;R$ 704;852;4
Goiania;24/02/2014;R$ 425;854;4
Goiania;23/12/2017;R$ 272;853;3
Goiania;15/01/2015;R$ 369;853;2
Goiania;02/05/2015;R$ 534;852;3
Goiania;11/09/2015;R$ 724;853;2
Goiania;10/02/2017;R$ 793;854;4
Goiania;12/02/2015;R$ 552;852;2
Goiania;22/06/2016;R$ 704;853;4
Goiania;05/10/2016;R$ 292;852;2
Goiania;24/04/2014;R$ 559;853;2
Goiania;14/05/2014;R$ 379;852;2
Goiania;22/06/2015;R$ 274;852;3
Goiania;24/04/2016;R$ 817;852;4
Goiania;14/10/2016;R$ 743;854;4
Goiania;20/10/2014;R$ 840;854;3
Goiania;02/05/2015;R$ 612;854;4
Goiania;05/01/2017;R$ 773;852;2
Goiania;10/03/2014;R$ 303;854;3
Goiania;30/07/2014;R$ 706;854;2
Goiania;20/12/2016;R$ 364;853;2
Goiania;01/09/2016;R$ 426;853;3
Goiania;07/02/2014;R$ 310;853;4
Goiania;28/04/2016;R$ 557;852;4
Goiania;23/05/2017;R$ 264;852;3
Goiania;02/10/2016;R$ 564;854;2
Goiania;07/03/2016;R$ 868;854;3
