Cidade;Data;Vendas;LojaID;Qtde
Rio de Janeiro;16/03/2015;R$141.44 ;780;1
Rio de Janeiro;16/03/2015;R$5.74 ;782;4
Rio de Janeiro;16/03/2015;R$42.08 ;780;2
Rio de Janeiro;16/03/2015;R$178.07 ;783;1
Rio de Janeiro;16/03/2015;R$145.91 ;780;1
Rio de Janeiro;16/03/2015;R$14.55 ;782;1
Rio de Janeiro;16/03/2015;R$12.17 ;781;1
Rio de Janeiro;16/03/2015;R$158.31 ;780;1
Rio de Janeiro;16/03/2015;R$138.26 ;782;2
Rio de Janeiro;16/03/2015;R$44.34 ;782;1
Rio de Janeiro;16/03/2015;R$39.16 ;781;2
Rio de Janeiro;16/03/2015;R$17.69 ;782;3
Rio de Janeiro;16/03/2015;R$32.68 ;782;2
Rio de Janeiro;16/03/2015;R$5.23 ;781;1
Rio de Janeiro;16/03/2015;R$9.24 ;782;4
Rio de Janeiro;16/03/2015;R$66.35 ;782;3
Rio de Janeiro;16/03/2015;R$16.48 ;780;4
Rio de Janeiro;16/03/2015;R$20.38 ;780;3
Rio de Janeiro;16/03/2015;R$157.50 ;783;4
Rio de Janeiro;16/03/2015;R$142.60 ;783;4
Rio de Janeiro;16/03/2015;R$19.07 ;780;2
Rio de Janeiro;16/03/2015;R$160.05 ;780;2
Rio de Janeiro;16/03/2015;R$171.24 ;783;1
Rio de Janeiro;16/03/2015;R$37.12 ;780;3
Rio de Janeiro;16/03/2015;R$7.30 ;782;2
Rio de Janeiro;16/03/2015;R$167.32 ;781;3
Rio de Janeiro;16/03/2015;R$171.62 ;783;4
Rio de Janeiro;16/03/2015;R$162.79 ;780;4
Rio de Janeiro;16/03/2015;R$6.45 ;781;4
Rio de Janeiro;16/03/2015;R$46.84 ;780;3
Rio de Janeiro;16/03/2015;R$149.42 ;781;2
Rio de Janeiro;16/03/2015;R$24.66 ;783;1
Rio de Janeiro;16/03/2015;R$8.30 ;781;2
Rio de Janeiro;16/03/2015;R$45.66 ;782;3
Rio de Janeiro;16/03/2015;R$178.24 ;783;4
Rio de Janeiro;16/03/2015;R$170.00 ;782;1
Rio de Janeiro;16/03/2015;R$21.57 ;783;4
